Ном		Стпт		Фстрт		Шстр		ндлн		фдлн		шлдн
2619		2		2		0		0		0		0
9175		306		306		0		52		52		0
3089		9		9		0		188		188		0
9051		274		274		0		24		24		0
6697		116		116		0		152		152		0
482		1		1		0		50		50		0
2054		4		4		0		108		108		0
4581		17		17		0		117		117		0
3605		10		10		0		0		0		0
5030		2		0		0		158		158		0
5820		6		6		0		59		59		0
7067		8		0		0		177		8		0
4646		1		1		0		109		109		0
8932		217		217		0		62		62		0
5371		14		14		0		197		197		0
1986		2		2		0		10		10		0
6653		7		7		0		92		92		0
7304		6		6		0		71		71		0
9779		570		570		0		0		0		0
9023		80		80		0		83		83		0
335		9		9		0		42		42		0
2827		8		8		0		66		66		0
538		7		7		0		0		0		0
8648		311		301		0		133		133		0
1259		167		167		0		134		134		0
1033		4		4		0		154		18		0
1437		7		7		0		125		99		0
5396		5		5		0		0		0		0
7651		174		174		0		81		66		0
6088		156		156		0		13		13		0
785		9		9		0		147		147		0
6985		3		3		0		160		160		0
7494		10		10		0		62		62		0
2810		228		228		0		7		7		0
1879		169		169		0		59		59		0
1570		11		11		0		154		154		0
1609		8		8		0		62		62		0
7324		305		305		0		91		91		0
6489		249		249		0		55		55		0
2731		9		0		0		98		98		0
4559		202		202		0		46		46		0
3786		169		169		0		33		33		0
2015		40		40		0		125		125		0
889		10		10		0		21		21		0
3595		8		0		0		51		51		0
3720		10		10		0		14		14		0
5874		4		4		0		0		0		0
9612		449		449		0		116		14		0
8752		407		407		0		34		34		0
4719		21		21		0		52		52		0
1019		11		11		0		2		2		0
3124		17		17		0		0		0		0
2925		11		11		0		0		0		0
7769		306		306		0		101		101		0
7208		77		77		0		56		56		0
2094		5		5		0		0		0		0
6030		13		13		0		62		62		0
4612		5		5		0		0		0		0
2589		3		3		0		24		24		0
6333		134		134		0		32		32		0
4318		2		2		0		124		8		0
7210		205		205		0		98		98		0
6774		201		201		0		0		0		0
3957		2		2		0		197		197		0
9750		709		709		0		0		0		0
9631		324		324		0		97		97		0
25		143		143		0		180		180		0
8		10		10		0		124		124		0
8241		691		691		0		14		14		0
345		7		7		0		147		147		0
7161		421		421		0		132		31		0
682		11		0		0		63		47		0
6497		312		303		0		100		100		0
2160		259		259		0		44		44		0
2058		158		158		0		101		101		0
862		11		11		0		147		147		0
5941		63		63		0		182		182		0
5325		2		2		0		52		52		0
7825		459		459		0		0		0		0
7522		276		267		0		180		180		0
3758		214		214		0		53		53		0
254		95		95		0		113		80		0
97		2		2		0		89		89		0
332		11		0		0		110		110		0
381		1		1		0		145		145		0
1824		8		8		0		87		87		0
7386		2		2		0		61		61		0
8176		666		666		0		24		24		0
8057		515		515		0		150		150		0
1803		132		132		0		159		159		0
1669		2		2		0		129		129		0
6958		512		512		0		0		0		0
6187		370		370		0		134		134		0
5038		187		186		0		175		175		0
1865		27		27		0		91		91		0
1568		8		0		0		18		18		0
2359		11		11		0		0		0		0
2764		7		7		0		179		179		0
7897		269		269		0		159		152		0
1858		152		152		0		0		0		0
115		11		11		0		132		84		0
7640		128		128		0		135		119		0
6264		7		7		0		13		13		0
6722		11		11		0		108		108		0
2887		8		8		0		24		24		0
9034		353		353		0		111		111		0
8267		80		80		0		121		121		0
337		3		3		0		0		0		0
7775		2		2		0		78		78		0
6704		88		88		0		99		99		0
2454		3		3		0		76		76		0
7949		350		350		0		0		0		0
6642		336		329		0		11		2		0
6161		181		181		0		148		148		0
984		4		4		0		58		58		0
3714		11		11		0		162		162		0
2611		2		0		0		0		0		0
3427		7		7		0		50		50		0
3498		6		6		0		0		0		0
5609		4		4		0		166		166		0
